Section,M.section (kNm) - Leff = 1500,I (x10^3 mm^4),Z (mm^3),BMT
64x0.50 BMT,0.19,47.60,"1,493.00",0.5
64x0.70 BMT DHT,0.291,82.1,2537,0.7
64x1.15BMT DHT,0.433,137.7,4257,1.15
76x0.5 BMT DHT,0.256,58.94,1551,0.5
76x0.70 BMT DHT,0.37,82.59,2173,0.70
92x0.70 BMT DHT,0.508,190.2,4058,0.7
64x1.15 BMT DHT,0.75,99,3095,1.15
76x1.15 BMT DHT,0.81,145,3868,1.15
92x1.15 BMT DHT,1.019,312.6,6701,1.15
150x0.75 BMT DHT,1.243,627.4,8277,0.75
150x1.15 BMT DHT,2.1,953.4,12610,1.15
SRP Custom DHT 2mm,1.245,522,11352,2
SRP Custom DHT 3mm,1.83,760,16540,3